,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL
42443,第１貝塚ビル,賃貸マンション,東京都新宿区新宿１,東京メトロ丸ノ内線/新宿御苑前駅 歩5分,築43年,11階建,7階,18万円,-,18万円,18万円,2LDK,67.27m2,https://suumo.jp/chintai/jnc_000076464961/?bc=100258406213
42446,プラウド世田谷松原,賃貸マンション,東京都世田谷区松原３,京王線/下高井戸駅 歩2分,築19年,9階建,5階,23万円,12000円,23万円,23万円,2LDK,75.77m2,https://suumo.jp/chintai/jnc_000078953573/?bc=100308712948
42449,ＵＲシャレール荻窪,賃貸マンション,東京都杉並区荻窪３,ＪＲ中央線/荻窪駅 歩14分,築12年,4階建,3階,18.91万円,5400円,37.82万円,-,1LDK,62.55m2,https://suumo.jp/chintai/jnc_000077568350/?bc=100301300617
42452,東京メトロ副都心線 北参道駅 7階建 築44年,賃貸マンション,東京都渋谷区神宮前２,東京メトロ副都心線/北参道駅 歩8分,築44年,7階建,4階,24万円,-,24万円,24万円,1LDK,59.22m2,https://suumo.jp/chintai/jnc_000078354042/?bc=100308713176
42453,東京メトロ副都心線 北参道駅 7階建 築44年,賃貸マンション,東京都渋谷区神宮前２,東京メトロ副都心線/北参道駅 歩8分,築44年,7階建,4階,24万円,-,24万円,24万円,1LDK,59.22m2,https://suumo.jp/chintai/jnc_000059948804/?bc=100298168138
42458,パークナードフィット南青山Garden,賃貸マンション,東京都港区南青山７,東京メトロ半蔵門線/表参道駅 歩13分,築3年,11階建,4階,22.7万円,15000円,22.7万円,-,1LDK,50.58m2,https://suumo.jp/chintai/jnc_000077297547/?bc=100299785045
42459,パークナードフィット南青山Garden,賃貸マンション,東京都港区南青山７,東京メトロ半蔵門線/表参道駅 歩13分,築3年,11階建,4階,22.7万円,15000円,22.7万円,-,1LDK,50.58m2,https://suumo.jp/chintai/jnc_000078973221/?bc=100308811061
42464,東急池上線 池上駅 3階建 築33年,賃貸マンション,東京都大田区池上６,東急池上線/池上駅 歩3分,築33年,3階建,3階,11.6万円,4000円,11.6万円,11.6万円,3DK,56.05m2,https://suumo.jp/chintai/jnc_000078782488/?bc=100307651126
42467,京王線 代田橋駅 3階建 築41年,賃貸マンション,東京都世田谷区羽根木１,京王線/代田橋駅 歩6分,築41年,3階建,2階,18万円,-,18万円,18万円,3DK,71.37m2,https://suumo.jp/chintai/jnc_000076540948/?bc=100295551867
42468,京王線 代田橋駅 3階建 築41年,賃貸マンション,東京都世田谷区羽根木１,京王線/代田橋駅 歩6分,築41年,3階建,2階,18万円,-,18万円,18万円,3DK,71.37m2,https://suumo.jp/chintai/jnc_000076584676/?bc=100295817007
42473,シティハウス駒沢Ｂ,賃貸テラス・タウンハウス,東京都世田谷区駒沢２,東急田園都市線/駒沢大学駅 歩6分,築37年,2階建,-,12.9万円,-,12.9万円,12.9万円,2DK,53.8m2,https://suumo.jp/chintai/jnc_000077812384/?bc=100302738251
42475,サンスクエア雪谷ＩＩ,賃貸テラス・タウンハウス,東京都大田区雪谷大塚町,東急池上線/雪が谷大塚駅 歩5分,築24年,2階建,1階,11.7万円,3000円,23.4万円,-,2DK,53m2,https://suumo.jp/chintai/jnc_000078280399/?bc=100304855922
42477,奥沢戸建,賃貸一戸建て,東京都世田谷区東玉川１,東急目黒線/奥沢駅 歩13分,築21年,2階建,-2階,24.5万円,-,24.5万円,24.5万円,3LDK,92.48m2,https://suumo.jp/chintai/jnc_000079070595/?bc=100304494177
42480,ドゥエル　エクセラン,賃貸マンション,東京都世田谷区岡本２,東急田園都市線/二子玉川駅 歩15分,築33年,3階建,1階,15.2万円,8000円,15.2万円,15.2万円,3LDK,61.2m2,https://suumo.jp/chintai/jnc_000079095723/?bc=100299671352
42481,ドゥエル　エクセラン,賃貸マンション,東京都世田谷区岡本２,東急田園都市線/二子玉川駅 歩15分,築33年,3階建,2階,15.7万円,8000円,15.7万円,15.7万円,3LDK,61.2m2,https://suumo.jp/chintai/jnc_000021604816/?bc=100295962285
42486,東京メトロ南北線 四ツ谷駅 地下1地上6階建 築45年,賃貸マンション,東京都新宿区若葉１,東京メトロ南北線/四ツ谷駅 歩9分,築45年,地下1地上6階建,4階,19万円,-,19万円,19万円,2LDK,59.5m2,https://suumo.jp/chintai/jnc_000079120319/?bc=100308198709
42489,エムツーエイト久が原,賃貸マンション,東京都大田区南久が原２,東急池上線/久が原駅 歩3分,築10年,5階建,1階,14万円,5000円,14万円,14万円,1LDK,51.11m2,https://suumo.jp/chintai/jnc_000073782395/?bc=100275516043
42492,中馬込二丁目貸戸建,賃貸一戸建て,東京都大田区中馬込２,都営浅草線/馬込駅 歩4分,築23年,3階建,-,24.8万円,-,24.8万円,24.8万円,3LDK,87.07m2,https://suumo.jp/chintai/jnc_000075363890/?bc=100288447923
42495,ＪＲ山手線 目黒駅 地下1地上5階建 築33年,賃貸マンション,東京都目黒区目黒４,ＪＲ山手線/目黒駅 歩16分,築33年,地下1地上5階建,3階,17.8万円,10000円,17.8万円,-,1LDK,55.17m2,https://suumo.jp/chintai/jnc_000078408798/?bc=100307528975
42498,東急田園都市線 桜新町駅 3階建 築18年,賃貸アパート,東京都世田谷区用賀３,東急田園都市線/桜新町駅 歩10分,築18年,3階建,3階,10.6万円,-,10.6万円,10.6万円,1DK,52.58m2,https://suumo.jp/chintai/jnc_000061723545/?bc=100306883085
42501,ルミエール・ムラタ　B,賃貸アパート,東京都練馬区土支田４,都営大江戸線/光が丘駅 歩23分,築30年,2階建,1階,10.2万円,2000円,10.2万円,10.2万円,3DK,55.39m2,https://suumo.jp/chintai/jnc_000077464307/?bc=100300673500
42504,クレド用賀,賃貸マンション,東京都世田谷区用賀４,東急田園都市線/用賀駅 歩1分,築28年,10階建,8階,24.5万円,-,24.5万円,24.5万円,3LDK,76.67m2,https://suumo.jp/chintai/jnc_000078669591/?bc=100306978637
42507,ルミエール成城,賃貸マンション,東京都世田谷区成城７,小田急線/成城学園前駅 歩13分,築31年,2階建,1階,13万円,3000円,13万円,13万円,2LDK,56.65m2,https://suumo.jp/chintai/jnc_000078168049/?bc=100304351347
42510,Ｐａｒｋ　Ｖｉｅｕｎｏ（パークビューノ）,賃貸マンション,東京都大田区大森本町２,京急本線/平和島駅 歩6分,新築,5階建,4階,17.9万円,8000円,17.9万円,-,1LDK,53.55m2,https://suumo.jp/chintai/jnc_000078979087/?bc=100263878717
42513,落合グリーンコート,賃貸マンション,東京都新宿区下落合３,ＪＲ山手線/目白駅 歩9分,築27年,3階建,3階,17万円,5000円,34万円,17万円,1LDK,51.12m2,https://suumo.jp/chintai/jnc_000042156538/?bc=100128263570
42516,サンクボンユール尾山台,賃貸マンション,東京都世田谷区玉堤１,東急大井町線/尾山台駅 歩17分,築19年,地下1地上5階建,2階,18.5万円,-,18.5万円,18.5万円,3LDK,70.95m2,https://suumo.jp/chintai/jnc_000053744583/?bc=100308734219
42519,東急池上線 御嶽山駅 6階建 築34年,賃貸マンション,東京都大田区久が原１,東急池上線/御嶽山駅 歩13分,築34年,6階建,3階,12.5万円,5000円,12.5万円,12.5万円,3LDK,60.14m2,https://suumo.jp/chintai/jnc_000079056664/?bc=100301264678
42522,ルミエール目白,賃貸マンション,東京都新宿区下落合２,ＪＲ山手線/目白駅 歩11分,築32年,3階建,1階,18万円,-,36万円,18万円,2LDK,72.67m2,https://suumo.jp/chintai/jnc_000079095593/?bc=100294391609
42525,丸山様戸建,賃貸一戸建て,東京都世田谷区上祖師谷１,京王線/千歳烏山駅 歩12分,築37年,2階建,-,12万円,-,12万円,12万円,2LDK,81m2,https://suumo.jp/chintai/jnc_000078749056/?bc=100307491714
42527,ア－トミルレ自由が丘,賃貸マンション,東京都世田谷区玉川田園調布２,東急東横線/自由が丘駅 歩8分,築20年,3階建,1階,13.4万円,10000円,13.4万円,-,1DK,51.47m2,https://suumo.jp/chintai/jnc_000078984771/?bc=100308841783
42530,メゾンアジュール,賃貸マンション,東京都大田区久が原２,都営浅草線/西馬込駅 歩13分,新築,3階建,3階,17.9万円,6000円,17.9万円,35.8万円,2LDK,60.78m2,https://suumo.jp/chintai/jnc_000076916341/?bc=100302403360
42531,メゾンアジュール,賃貸マンション,東京都大田区久が原２,都営浅草線/西馬込駅 歩13分,新築,3階建,1階,19.1万円,6000円,19.1万円,38.2万円,2LDK,65.92m2,https://suumo.jp/chintai/jnc_000076916339/?bc=100302403351
42532,メゾンアジュール,賃貸マンション,東京都大田区久が原２,都営浅草線/西馬込駅 歩13分,新築,3階建,1階,19.3万円,6000円,19.3万円,38.6万円,2LDK,65.08m2,https://suumo.jp/chintai/jnc_000076916338/?bc=100302403356
42533,メゾンアジュール,賃貸マンション,東京都大田区久が原２,都営浅草線/西馬込駅 歩13分,新築,3階建,2階,20万円,6000円,20万円,40万円,2LDK,68.3m2,https://suumo.jp/chintai/jnc_000076916340/?bc=100302403362
42534,メゾンアジュール,賃貸マンション,東京都大田区久が原２,都営浅草線/西馬込駅 歩13分,新築,3階建,2階,21.9万円,6000円,21.9万円,43.8万円,3LDK,72.74m2,https://suumo.jp/chintai/jnc_000076822465/?bc=100297171034
42545,清水ビル,賃貸マンション,東京都新宿区新宿１,東京メトロ丸ノ内線/新宿御苑前駅 歩4分,築57年,10階建,7階,20.9万円,10000円,20.9万円,20.9万円,3LDK,65.22m2,https://suumo.jp/chintai/jnc_000058652126/?bc=100307009310
42548,プラザ９０,賃貸マンション,東京都大田区本羽田１,京急空港線/糀谷駅 歩10分,築33年,6階建,6階,11.5万円,10000円,11.5万円,11.5万円,2LDK,51.21m2,https://suumo.jp/chintai/jnc_000078230759/?bc=000093331326
42551,メイジャーズ目白,賃貸マンション,東京都新宿区下落合２,ＪＲ山手線/目白駅 歩8分,築34年,3階建,2階,22.5万円,-,45万円,22.5万円,2LDK,68.46m2,https://suumo.jp/chintai/jnc_000073717673/?bc=100279694445
42554,Brillia ist 北沢KEYAKI,賃貸マンション,東京都世田谷区北沢５,小田急線/代々木上原駅 歩11分,築15年,地下1地上6階建,1階,20.5万円,10000円,20.5万円,-,1SLDK,67.46m2,https://suumo.jp/chintai/jnc_000068117735/?bc=100307905595
42555,Brillia ist 北沢KEYAKI,賃貸マンション,東京都世田谷区北沢５,小田急線/代々木上原駅 歩11分,築15年,地下1地上6階建,5階,22.8万円,10000円,22.8万円,-,1LDK,67m2,https://suumo.jp/chintai/jnc_000078700838/?bc=100307185483
42560,京急空港線 大鳥居駅 14階建 新築,賃貸マンション,東京都大田区萩中３,京急空港線/大鳥居駅 歩6分,新築,14階建,13階,18.1万円,12000円,18.1万円,18.1万円,1LDK,51.62m2,https://suumo.jp/chintai/jnc_000079001286/?bc=100307421594
42563,駒沢オリンピックマンション,賃貸マンション,東京都世田谷区弦巻２,東急田園都市線/駒沢大学駅 歩9分,築44年,5階建,2階,15万円,15000円,15万円,15万円,2LDK,53m2,https://suumo.jp/chintai/jnc_000033199253/?bc=100302065876
42566,コーポレート新宿百人町一丁目,賃貸マンション,東京都新宿区百人町１,ＪＲ山手線/新大久保駅 歩3分,築21年,10階建,6階,18.78万円,4500円,18.78万円,-,2DK,53.17m2,https://suumo.jp/chintai/jnc_000078540286/?bc=100305471093
42569,ＪＲ山手線 新大久保駅 10階建 築21年,賃貸マンション,東京都新宿区百人町１,ＪＲ山手線/新大久保駅 歩3分,築21年,10階建,6階,18.78万円,4500円,18.78万円,-,2DK,53.17m2,https://suumo.jp/chintai/jnc_000078201224/?bc=100304871565
42572,コ・ハウジング玉川田園調布,賃貸マンション,東京都世田谷区玉川田園調布２,東急東横線/田園調布駅 歩7分,新築,3階建,2階,25万円,-,75万円,25万円,1LDK,59.28m2,https://suumo.jp/chintai/jnc_000078675541/?bc=100307005039
42573,コ・ハウジング玉川田園調布,賃貸マンション,東京都世田谷区玉川田園調布２,東急東横線/田園調布駅 歩7分,新築,3階建,2階,25万円,-,75万円,25万円,1LDK,59.28m2,https://suumo.jp/chintai/jnc_000078675542/?bc=100307005695
42578,京王線 明大前駅 3階建 築29年,賃貸マンション,東京都世田谷区松原１,京王線/明大前駅 歩5分,築29年,3階建,1階,22.8万円,10000円,22.8万円,22.8万円,2LDK,56.73m2,https://suumo.jp/chintai/jnc_000076666720/?bc=100286700415
42581,成田西3丁目戸建,賃貸一戸建て,東京都杉並区成田西３,東京メトロ丸ノ内線/南阿佐ケ谷駅 歩18分,築41年,2階建,1-2階,20万円,-,20万円,20万円,4LDK,125.3m2,https://suumo.jp/chintai/jnc_000073590190/?bc=100307869853
42584,京急本線 梅屋敷駅 2階建 築3年,賃貸マンション,東京都大田区北糀谷１,京急本線/梅屋敷駅 歩10分,築3年,2階建,1階,13.7万円,5000円,6万円,6万円,1LDK,53.38m2,https://suumo.jp/chintai/jnc_000078723778/?bc=100308088576
42585,京急本線 梅屋敷駅 2階建 築3年,賃貸マンション,東京都大田区北糀谷１,京急本線/梅屋敷駅 歩10分,築3年,2階建,2階,14万円,5000円,6万円,6万円,1LDK,56.09m2,https://suumo.jp/chintai/jnc_000078723779/?bc=100308088582
42590,ＷＩＮＧIII,賃貸マンション,東京都大田区北糀谷１,京急本線/梅屋敷駅 歩10分,築3年,2階建,1階,13.7万円,5000円,6万円,6万円,1LDK,53.38m2,https://suumo.jp/chintai/jnc_000060866974/?bc=100304840999
42591,ＷＩＮＧIII,賃貸マンション,東京都大田区北糀谷１,京急本線/梅屋敷駅 歩10分,築3年,2階建,2階,14万円,5000円,6万円,6万円,1LDK,56.09m2,https://suumo.jp/chintai/jnc_000060866978/?bc=100304881576
42596,WING III,賃貸マンション,東京都大田区北糀谷１,京急本線/梅屋敷駅 歩10分,築3年,2階建,1階,13.7万円,5000円,6万円,13.7万円,1LDK,53.38m2,https://suumo.jp/chintai/jnc_000078320795/?bc=100305767383
42597,WING III,賃貸マンション,東京都大田区北糀谷１,京急本線/梅屋敷駅 歩10分,築3年,2階建,2階,14万円,5000円,6万円,14万円,1LDK,56.09m2,https://suumo.jp/chintai/jnc_000078320798/?bc=100305767344
42602,都営大江戸線 麻布十番駅 11階建 築53年,賃貸マンション,東京都港区六本木５,都営大江戸線/麻布十番駅 歩5分,築53年,11階建,3階,14.5万円,-,14.5万円,14.5万円,1LDK,50m2,https://suumo.jp/chintai/jnc_000040754415/?bc=100308218182
42605,京王線 下高井戸駅 3階建 築13年,賃貸一戸建て,東京都世田谷区松原３,京王線/下高井戸駅 歩5分,築13年,3階建,1階,21万円,-,42万円,21万円,1SDK,74.86m2,https://suumo.jp/chintai/jnc_000077066182/?bc=100307013858
42606,京王線 下高井戸駅 3階建 築13年,賃貸一戸建て,東京都世田谷区松原３,京王線/下高井戸駅 歩5分,築13年,3階建,-,21万円,-,42万円,21万円,1SDK,74.86m2,https://suumo.jp/chintai/jnc_000077051981/?bc=100306797829
42611,Ｓｏｐｈｉａ大岡山,賃貸アパート,東京都大田区北千束３,東急目黒線/大岡山駅 歩5分,築2年,3階建,2階,16.9万円,8000円,-,16.9万円,1LDK,52.81m2,https://suumo.jp/chintai/jnc_000065675985/?bc=100308657274
42614,鈴木ビル,賃貸マンション,東京都大田区池上３,東急池上線/池上駅 歩9分,築36年,7階建,4階,12万円,8000円,12万円,12万円,3DK,61.53m2,https://suumo.jp/chintai/jnc_000078249853/?bc=100299237573
42617,テラス瀬田,賃貸テラス・タウンハウス,東京都世田谷区瀬田５,東急田園都市線/用賀駅 歩13分,築22年,2階建,1-2階,24.5万円,-,24.5万円,49万円,3LDK,70.19m2,https://suumo.jp/chintai/jnc_000078621328/?bc=100306690904
42620,弦巻リハイム(ツルマキリハイム),賃貸マンション,東京都世田谷区弦巻５,東急田園都市線/桜新町駅 歩10分,築49年,3階建,2階,14万円,10000円,-,14万円,2LDK,54m2,https://suumo.jp/chintai/jnc_000077941506/?bc=100303448557
42623,大久保カドビル,賃貸マンション,東京都新宿区百人町１,ＪＲ中央線/大久保駅 歩4分,築42年,地下1地上7階建,7階,17.5万円,5000円,17.5万円,17.5万円,2LDK,50.51m2,https://suumo.jp/chintai/jnc_000078285745/?bc=100304922639
42626,都営浅草線 西馬込駅 3階建 築35年,賃貸マンション,東京都大田区中馬込３,都営浅草線/西馬込駅 歩9分,築35年,3階建,3階,12.5万円,3000円,12.5万円,-,3DK,63.3m2,https://suumo.jp/chintai/jnc_000074963472/?bc=100307176725
42629,ハイライフ鈴啓,賃貸マンション,東京都大田区下丸子３,東急多摩川線/下丸子駅 歩9分,築35年,4階建,3階,12.5万円,3000円,12.5万円,-,3DK,50m2,https://suumo.jp/chintai/jnc_000077799795/?bc=100302724479
42632,都営大江戸線 麻布十番駅 8階建 築16年,賃貸マンション,東京都港区麻布十番２,都営大江戸線/麻布十番駅 歩2分,築16年,8階建,6階,25万円,-,25万円,25万円,1LDK,57.87m2,https://suumo.jp/chintai/jnc_000040062288/?bc=100305367784
42635,佐分邸,賃貸アパート,東京都大田区東雪谷５,東急池上線/石川台駅 歩12分,築47年,2階建,2階,10万円,-,10万円,10万円,4DK,62.87m2,https://suumo.jp/chintai/jnc_000077072133/?bc=100304494205
42638,UI・hotel 池袋本町,賃貸その他,東京都豊島区池袋本町１,ＪＲ山手線/池袋駅 歩15分,築36年,5階建,-,16万円,10000円,16万円,16万円,3K,55.6m2,https://suumo.jp/chintai/jnc_000076441539/?bc=100224017379
42641,ワールドシティタワーズアクアタワー,賃貸マンション,東京都港区港南４,ＪＲ山手線/品川駅 歩15分,築18年,地下2地上42階建,17階,22.9万円,10000円,45.8万円,22.9万円,2LDK,56.09m2,https://suumo.jp/chintai/jnc_000057439929/?bc=100292598432
42644,グランピエール,賃貸マンション,東京都大田区本羽田２,京急空港線/糀谷駅 歩9分,築30年,6階建,3階,15万円,10000円,15万円,15万円,2LDK,56.07m2,https://suumo.jp/chintai/jnc_000078775755/?bc=100307619193
42645,グランピエール,賃貸マンション,東京都大田区本羽田２,京急空港線/糀谷駅 歩9分,築30年,6階建,3階,15万円,10000円,15万円,15万円,2LDK,56.07m2,https://suumo.jp/chintai/jnc_000078775756/?bc=100307619275
42646,グランピエール,賃貸マンション,東京都大田区本羽田２,京急空港線/糀谷駅 歩9分,築30年,6階建,3階,15万円,10000円,15万円,15万円,2LDK,56.07m2,https://suumo.jp/chintai/jnc_000078775757/?bc=100307619092
42647,グランピエール,賃貸マンション,東京都大田区本羽田２,京急空港線/糀谷駅 歩9分,築30年,6階建,5階,15.5万円,10000円,15.5万円,15.5万円,2LDK,56.07m2,https://suumo.jp/chintai/jnc_000078775758/?bc=100307618951
42648,グランピエール,賃貸マンション,東京都大田区本羽田２,京急空港線/糀谷駅 歩9分,築30年,6階建,6階,16万円,10000円,16万円,16万円,2LDK,56.07m2,https://suumo.jp/chintai/jnc_000078775759/?bc=100307619483
42659,京急空港線 糀谷駅 6階建 築30年,賃貸マンション,東京都大田区本羽田２,京急空港線/糀谷駅 歩9分,築30年,6階建,3階,15万円,10000円,15万円,15万円,2LDK,56.07m2,https://suumo.jp/chintai/jnc_000078837294/?bc=100307998935
42660,京急空港線 糀谷駅 6階建 築30年,賃貸マンション,東京都大田区本羽田２,京急空港線/糀谷駅 歩9分,築30年,6階建,3階,15万円,10000円,15万円,15万円,2LDK,56.07m2,https://suumo.jp/chintai/jnc_000078837293/?bc=100307997947
42661,京急空港線 糀谷駅 6階建 築30年,賃貸マンション,東京都大田区本羽田２,京急空港線/糀谷駅 歩9分,築30年,6階建,5階,15.5万円,10000円,15.5万円,15.5万円,2LDK,56.07m2,https://suumo.jp/chintai/jnc_000078837295/?bc=100308000134
42662,京急空港線 糀谷駅 6階建 築30年,賃貸マンション,東京都大田区本羽田２,京急空港線/糀谷駅 歩9分,築30年,6階建,6階,16万円,10000円,16万円,16万円,2LDK,56.07m2,https://suumo.jp/chintai/jnc_000078837296/?bc=100308000515
42671,ヴェラハイツ神楽坂,賃貸マンション,東京都新宿区天神町,東京メトロ東西線/神楽坂駅 歩4分,築39年,10階建,10階,18.7万円,10000円,18.7万円,18.7万円,2LDK,51m2,https://suumo.jp/chintai/jnc_000079099186/?bc=100295668760
42674,リシェ玉堤,賃貸アパート,東京都世田谷区玉堤１,東急大井町線/尾山台駅 歩16分,築10年,2階建,1階,16.3万円,3000円,16.3万円,16.3万円,2LDK,68m2,https://suumo.jp/chintai/jnc_000078909095/?bc=100308497186
42675,リシェ玉堤,賃貸アパート,東京都世田谷区玉堤１,東急大井町線/尾山台駅 歩16分,築10年,2階建,1階,16.3万円,3000円,16.3万円,16.3万円,2LDK,68m2,https://suumo.jp/chintai/jnc_000078280429/?bc=100304917944
42680,東急大井町線 尾山台駅 2階建 築10年,賃貸アパート,東京都世田谷区玉堤１,東急大井町線/尾山台駅 歩16分,築10年,2階建,1階,16.3万円,3000円,16.3万円,16.3万円,2LDK,68m2,https://suumo.jp/chintai/jnc_000078909096/?bc=100308477803
42683,ハウスM,賃貸マンション,東京都大田区東嶺町,東急池上線/久が原駅 歩1分,築25年,3階建,3階,13.5万円,-,13.5万円,13.5万円,2LDK,54.3m2,https://suumo.jp/chintai/jnc_000078333630/?bc=100305186282
42685,デュオアベニュー成城,賃貸一戸建て,東京都世田谷区成城４,小田急線/成城学園前駅 歩15分,築9年,2階建,-,25万円,-,50万円,25万円,3LDK,96.36m2,https://suumo.jp/chintai/jnc_000063651360/?bc=100299541961
42688,コトー多摩川,賃貸マンション,東京都大田区西六郷４,京急本線/六郷土手駅 歩6分,築44年,10階建,6階,12万円,5000円,12万円,12万円,3DK,61.6m2,https://suumo.jp/chintai/jnc_000033212542/?bc=100307674956
42691,シェムワ淡島,賃貸マンション,東京都世田谷区池尻４,京王井の頭線/池ノ上駅 歩7分,築37年,4階建,2階,14.4万円,2000円,14.4万円,14.4万円,2DK,51m2,https://suumo.jp/chintai/jnc_000078958259/?bc=100308727081
42694,ＫＤＸレジデンス成城,賃貸マンション,東京都世田谷区成城４,小田急線/成城学園前駅 歩12分,築16年,地下1地上3階建,1階,15.5万円,10000円,15.5万円,15.5万円,1LDK,51.25m2,https://suumo.jp/chintai/jnc_000076430735/?bc=100306680856
42697,京王井の頭線 久我山駅 2階建 築37年,賃貸マンション,東京都杉並区久我山４,京王井の頭線/久我山駅 歩11分,築37年,2階建,2階,13.8万円,2000円,13.8万円,13.8万円,1LDK,50.13m2,https://suumo.jp/chintai/jnc_000073923740/?bc=100280962828
42700,小田急線 下北沢駅 2階建 築59年,賃貸アパート,東京都世田谷区代田５,小田急線/下北沢駅 歩6分,築59年,2階建,1階,25万円,-,25万円,25万円,3SLDK,169.76m2,https://suumo.jp/chintai/jnc_000078554266/?bc=100303613425
42703,H　ファミリータイプの分譲賃貸　ルームシェア相談,賃貸マンション,東京都新宿区西新宿４,京王新線/初台駅 歩4分,築54年,地下2地上12階建,5階,15万円,-,-,15万円,3DK,63m2,https://suumo.jp/chintai/jnc_000078914605/?bc=100308458206
42706,西蒲田３丁目戸建,賃貸一戸建て,東京都大田区西蒲田３,ＪＲ京浜東北線/蒲田駅 歩12分,築46年,2階建,-,17万円,-,34万円,17万円,5DK,99.36m2,https://suumo.jp/chintai/jnc_000077001492/?bc=100302878833
42709,ＪＲ山手線 目黒駅 5階建 築22年,賃貸マンション,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩11分,築22年,5階建,3階,18.5万円,6000円,18.5万円,18.5万円,ワンルーム,55.17m2,https://suumo.jp/chintai/jnc_000078592273/?bc=100307746735
42712,都営新宿線 曙橋駅 地下1地上4階建 新築,賃貸マンション,東京都新宿区市谷加賀町２,都営新宿線/曙橋駅 歩10分,新築,地下1地上4階建,B1-1階,21.8万円,12000円,-,-,1LDK,59.16m2,https://suumo.jp/chintai/jnc_000078333138/?bc=100296836526
42715,都営新宿線 曙橋駅 15階建 築18年,賃貸マンション,東京都新宿区市谷本村町,都営新宿線/曙橋駅 歩12分,築18年,15階建,9階,23.4万円,15000円,23.4万円,23.4万円,2LDK,52.37m2,https://suumo.jp/chintai/jnc_000067515965/?bc=100304137809
42718,パークキューブ市ヶ谷,賃貸マンション,東京都新宿区市谷本村町,都営新宿線/曙橋駅 歩12分,築18年,15階建,9階,23.4万円,15000円,23.4万円,23.4万円,2LDK,52.37m2,https://suumo.jp/chintai/jnc_000067512022/?bc=100304030753
42721,ウィンザーハイム桜新町,賃貸マンション,東京都世田谷区桜新町２,東急田園都市線/桜新町駅 歩6分,築45年,6階建,3階,18万円,10000円,18万円,18万円,2LDK,63m2,https://suumo.jp/chintai/jnc_000076701219/?bc=100308715443
42724,京王井の頭線 高井戸駅 地下1地上3階建 築20年,賃貸マンション,東京都杉並区荻窪１,京王井の頭線/高井戸駅 歩15分,築20年,地下1地上3階建,3階,22万円,10000円,22万円,-,2LDK,89.64m2,https://suumo.jp/chintai/jnc_000078937496/?bc=100308598439
42727,仮称）船橋5丁目テラスハウス,賃貸テラス・タウンハウス,東京都世田谷区船橋５,小田急線/千歳船橋駅 歩15分,新築,2階建,1-2階,18万円,3000円,18万円,18万円,2LDK,67.07m2,https://suumo.jp/chintai/jnc_000078942300/?bc=100308647655
42730,仮称）船橋5丁目テラスハウス,賃貸テラス・タウンハウス,東京都世田谷区船橋５,小田急線/千歳船橋駅 歩15分,新築,2階建,1-2階,18万円,3000円,18万円,18万円,2LDK,67.07m2,https://suumo.jp/chintai/jnc_000078942299/?bc=100308647654
42733,エクセレント和泉,賃貸マンション,東京都杉並区和泉４,東京メトロ丸ノ内線/方南町駅 歩2分,築35年,地下1地上6階建,4階,23万円,-,23万円,23万円,2LDK,55.95m2,https://suumo.jp/chintai/jnc_000062809648/?bc=100306446205
42736,鈴木ビル,賃貸マンション,東京都足立区佐野２,東京メトロ千代田線/北綾瀬駅 歩20分,築44年,3階建,1階,12万円,7500円,24万円,24万円,3K,56.2m2,https://suumo.jp/chintai/jnc_000075113519/?bc=100272251149
42739,六番館,賃貸マンション,東京都新宿区北町,都営大江戸線/牛込神楽坂駅 歩3分,築34年,地下1地上3階建,3階,20万円,-,20万円,20万円,2LDK,50.89m2,https://suumo.jp/chintai/jnc_000077832666/?bc=100302828313
42742,若木2丁目貸家,賃貸一戸建て,東京都板橋区若木２,東武東上線/上板橋駅 歩13分,築62年,2階建,1-2階,8.5万円,-,8.5万円,-,1LDK,60m2,https://suumo.jp/chintai/jnc_000078763454/?bc=100307545809
42745,ブリランテＢ棟,賃貸テラス・タウンハウス,東京都杉並区下井草２,ＪＲ中央線/阿佐ケ谷駅 歩22分,築11年,2階建,1-2階,18万円,3000円,27万円,-,2SLDK,70.44m2,https://suumo.jp/chintai/jnc_000078316517/?bc=100305102218
42748,ＪＲ中央線 阿佐ケ谷駅 2階建 築11年,賃貸テラス・タウンハウス,東京都杉並区下井草２,ＪＲ中央線/阿佐ケ谷駅 歩22分,築11年,2階建,1-2階,18万円,3000円,27万円,-,2SLDK,70.44m2,https://suumo.jp/chintai/jnc_000078782740/?bc=100307663764
42751,ベイクレストタワー,賃貸マンション,東京都港区港南３,ＪＲ山手線/品川駅 歩13分,築18年,地下1地上40階建,8階,20万円,10000円,40万円,20万円,1LDK,53.4m2,https://suumo.jp/chintai/jnc_000078730496/?bc=100307373016
42754,プチエレガンスエフユー,賃貸マンション,東京都大田区大森南２,京急本線/梅屋敷駅 歩18分,築33年,5階建,4階,11万円,-,11万円,11万円,3DK,50.22m2,https://suumo.jp/chintai/jnc_000077615411/?bc=100303910425
42755,プチエレガンスエフユー,賃貸マンション,東京都大田区大森南２,京急本線/梅屋敷駅 歩18分,築33年,5階建,4階,11.3万円,-,11.3万円,11.3万円,3LDK,59.64m2,https://suumo.jp/chintai/jnc_000025904037/?bc=100308731199
